FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1219,17200,Valine,Valine,G,0.22,,,,0,0.21,0.17,0.28,0.205,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1089,5400,"Iron, Fe","Iron, Fe",MG,0.03,,,0.004,4,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1166,6500,Riboflavin,Riboflavin,MG,0.185,0.16,0.22,0.005,12,0.14,0.114,0.176,0.141,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1127,8200,"Tocopherol, delta","Tocopherol, delta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1221,17400,Histidine,Histidine,G,0.101,,,,0,0.099,0.09,0.12,0.1,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1213,16600,Leucine,Leucine,G,0.319,,,,0,0.342,0.29,0.44,0.33,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1007,1000,Ash,Ash,G,0.75,0.7,0.89,0.014,12,0.8,0.52,1.55,0.72,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1125,8000,"Tocopherol, beta","Tocopherol, beta",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1217,17000,Phenylalanine,Phenylalanine,G,0.174,,,,0,0.168,0.14,0.21,0.16,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1222,17500,Alanine,Alanine,G,0.114,,,,0,0.111,0.09,0.14,0.11,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,4.99,,,,0,5.18,,,,,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1165,6400,Thiamin,Thiamin,MG,0.02,0.015,0.043,0.002,12,0.057,0.046,0.071,0.056,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1107,7440,"Carotene, beta","Carotene, beta",UG,2,,,,0,1,1,3,1,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1014,2000,Maltose,Maltose,G,0,0,0,0,12,0,0,0,0,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1128,8300,"Tocotrienol, alpha","Tocotrienol, alpha",MG,0,0,0,0,12,0,0,0,0,6,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1210,16300,Tryptophan,Tryptophan,G,0.043,,,,0,0.045,0.04,0.06,0.04,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1051,100,Water,Water,G,89.92,88.04,90.29,0.174,12,89.7,86.9,91.8,89.9,24,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1212,16500,Isoleucine,Isoleucine,G,0.174,,,,0,0.174,0.14,0.24,0.17,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1105,7430,Retinol,Retinol,UG,58,,,,0,58,22,81,62,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1103,6200,"Selenium, Se","Selenium, Se",UG,3.3,2,4.9,0.301,12,2.1,0,4.2,3.1,12,12/16/2019
1082,1082,1,"Milk, lowfat, 1% milkfat","Milk, lowfat, 1% milkfat",1062,400,Energy,Energy,kJ,177,,,,0,179,,,,,12/16/2019
