5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,0,,,,0,0,,,,,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1293,12900,"Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated",G,0.424,,,,0,0.2963,0.19,0.55,0.275,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1098,6000,"Copper, Cu","Copper, Cu",MG,0.037,0.025,0.049,0.003,6,0.003638,0,0.0291,0,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1051,100,Water,Water,G,73.9,72.94,74.69,0.26,6,74.78,74.06,75.27,74.81,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1007,1000,Ash,Ash,G,1.13,1.1,1.17,0.01,6,1.129,1.05,1.23,1.13,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1087,5300,"Calcium, Ca","Calcium, Ca",MG,5,4,6,0.338,6,3.939,3.45,4.56,3.72,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1292,11400,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated",G,0.689,,,,0,0.3688,0.19,0.71,0.335,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1253,15700,Cholesterol,Cholesterol,MG,73,70,79,2.904,3,72.73,64,83.4,72.8,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1095,5900,"Zinc, Zn","Zinc, Zn",MG,0.68,0.59,0.78,0.03,6,0.6545,0.555,0.796,0.6235,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1004,800,Total lipid (fat),Total lipid (fat),G,2.62,1.86,3.45,0.22,6,1.934,1.31,3.1,1.71,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,0.563,,,,0,0.3488,0.19,0.6,0.34,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1092,5700,"Potassium, K","Potassium, K",MG,334,321,343,3.42,6,330.1,289.5,359,331.8,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1089,5400,"Iron, Fe","Iron, Fe",MG,0.37,0.33,0.42,0.013,6,0.3543,0.304,0.413,0.3515,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1091,5600,"Phosphorus, P","Phosphorus, P",MG,213,207,222,2.442,6,214.9,200.5,226,213.3,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1090,5500,"Magnesium, Mg","Magnesium, Mg",MG,28,27,30,0.473,6,26.2,23,29.7,26.55,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1093,5800,"Sodium, Na","Sodium, Na",MG,45,38,52,2.309,6,65.75,48.9,84.8,66.7,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.011,0.011,0.011,0,6,0,0,0,0,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1257,15400,"Fatty acids, total trans","Fatty acids, total trans",G,0.007,,,,0,0.00875,0,0.01,0.01,8,10/19/2023
5062,5062,5,"Chicken, breast, boneless, skinless, raw","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",1003,600,Protein,Protein,G,22.5,21.88,23.44,0.238,6,22.525,21.5625,23.375,22.46875,,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1005,1110,"Carbohydrate, by difference","Carbohydrate, by difference",G,0,,,,0,0,,,,,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1004,800,Total lipid (fat),Total lipid (fat),G,4.12,3.83,4.41,0.091,7,7.916,6.31,9.92,7.59,8,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1091,5600,"Phosphorus, P","Phosphorus, P",MG,185,169,200,5.263,6,178.3,168,188,178.3,8,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,1.097,,,,0,1.658,1,2.58,1.445,8,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1101,6100,"Manganese, Mn","Manganese, Mn",MG,0.013,0.005,0.019,0.001,6,0,0,0,0,8,10/19/2023
5096,5096,5,"Chicken, thigh, boneless, skinless, raw","Chicken, broilers or fryers, dark meat, thigh, meat only, raw",1257,15400,"Fatty acids, total trans","Fatty acids, total trans",G,0.02,,,,0,0.02375,0.02,0.03,0.02,8,10/19/2023
