FF_NDB,SR_NDB,food_category_id,FF Food description,SR Food description,Nutrient_id,rank,FF_Component,SR_Component,unit_name,SR Mean per 100g,SR Min,SR Max, Std_Error,SR Num_Data_pts,FF Mean per 100g,FF Min,FF Max,FF Median,FF data_points,FF Publication Date
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1131,8600,"Tocotrienol, delta","Tocotrienol, delta",MG,0,0,0,0,5,0,0,0,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1177,6900,"Folate, total","Folate, total",UG,6,,,,1,6,6,6,6,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1198,7290,Betaine,Betaine,MG,0.2,,,,1,0.2,,,0.2,1,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1004,800,Total lipid (fat),Total lipid (fat),G,27.84,22.3,35.19,1.131,11,28,22.3,35.2,28.5,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1011,1700,Glucose,Glucose (dextrose),G,0,,,,1,0,0,0,0,2,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1125,8000,"Tocopherol, beta","Tocopherol, beta",MG,0,0,0,0,5,0,0,0,0,6,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1258,9700,"Fatty acids, total saturated","Fatty acids, total saturated",G,15.371,,,,0,15.5,,,,,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1051,100,Water,Water,G,22.65,20.24,25.07,0.454,11,22.8,20.2,25.1,23.4,12,4/1/2019
1032,1032,1,"Cheese, parmesan, grated","Cheese, parmesan, grated",1062,400,Energy,Energy,kJ,1757,,,,0,1760,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1166,6500,Riboflavin,Riboflavin,MG,0.234,0.22,0.32,0.003,4,0.247,0.22,0.32,0.225,4,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1089,5400,"Iron, Fe","Iron, Fe",MG,0.63,0.13,1.03,0.027,19,0.48,0.13,1.03,0.25,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1122,7530,Lycopene,Lycopene,UG,0,0,0,,3,0,0,0,0,3,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1098,6000,"Copper, Cu","Copper, Cu",MG,0.046,0.025,0.13,0.005,19,0.046,0.025,0.13,0.037,19,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1125,8000,"Tocopherol, beta","Tocopherol, beta",MG,0,0,0,,2,0,0,0,0,2,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1292,11400,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated",G,8.236,,,,0,7.3,,,,,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1004,800,Total lipid (fat),Total lipid (fat),G,30.71,29.8,31.2,0.055,13,30.6,29.8,31.2,30.7,13,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1180,7220,"Choline, total","Choline, total",MG,19.2,,,,0,19.2,,,19.2,1,4/1/2019
1042,1042,1,"Cheese, pasteurized process, American, vitamin D fortified","Cheese, pasteurized process, American, fortified with vitamin D",1012,1800,Fructose,Fructose,G,0,0,0,0,5,0,0,0,0,5,4/1/2019
